 	Area	X	Y	Slice
228	116	434.974	401.767	1
229	116	222.414	438.690	1
230	106	456.755	466.038	1
231	140	447.671	169.300	1
232	140	408.893	248.279	1
233	141	296.635	289.670	1
234	155	29.732	319.823	1
235	111	471.599	335.815	1
236	126	347.302	347.810	1
237	137	100.310	364.310	1
238	123	430.028	399.419	1
239	125	225.324	442.996	1
240	120	452.233	464.650	1
241	123	443.801	170.280	1
242	141	410.181	244.415	1
243	143	299.339	291.773	1
244	151	33.017	321.877	1
245	114	475.798	332.412	1
246	132	350.614	351.470	1
247	140	105.764	366.929	1
248	123	430.093	400.996	1
249	127	224.539	447.091	1
250	128	455.656	458.648	1
251	110	438	169.727	1
252	132	402.636	240.583	1
253	137	300.807	295.172	1
254	146	35.404	324.938	1
255	90	479.567	333.156	1
256	116	354.241	346.466	1
257	135	106.581	370.211	1
258	115	430.474	406.274	1
259	116	227.509	449.828	1
260	110	456.291	459.636	1
261	99	437.702	172.571	1
262	123	399.313	237.118	1
263	128	304.391	299.719	1
264	149	35.023	323.849	1
265	82	483.195	334.890	1
266	107	354.229	345.304	1
267	121	109.674	373.682	1
268	107	427.743	404.182	1
269	109	226.298	453.876	1
270	100	458.610	460.950	1
271	112	433.562	174.527	1
272	131	404.240	238.622	1
273	138	306.312	297.188	1
274	150	35.573	326.233	1
275	99	479.247	331.753	1
276	121	352.426	341.351	1
277	137	106.609	376.354	1
278	116	430.078	403.112	1
279	119	226.130	457.399	1
280	117	459.731	463.927	1
281	121	425.905	174.062	1
282	141	410.812	235.457	1
283	145	304.576	294.638	1
284	156	35.987	326.256	1
285	115	478.248	325.961	1
286	132	355.902	340.750	1
287	141	108.372	381.670	1
288	123	431.467	401.167	1
289	123	231.695	459.785	1
290	123	461.289	467.923	1
291	119	423.945	173.643	1
292	134	413.321	236.761	1
293	142	306.718	295.542	1
294	149	35.849	324.607	1
295	105	478.690	327.424	1
296	130	354.838	337.631	1
297	136	113.647	386.507	1
298	118	432.712	399.085	1
299	119	235.324	459.954	1
300	117	461.303	467.979	1
301	99	421.803	177.763	1
302	124	417.056	238.476	1
303	134	308.246	292.284	1
304	140	37.314	327.264	1
305	94	481.968	329.436	1
306	113	348.270	336.819	1
307	123	112.955	387.183	1
308	112	433.554	396.027	1
309	107	233.967	461.098	1
310	99	460.571	465.601	1
311	96	425.177	178.281	1
312	124	416.234	239.492	1
